2026-04-20 12:08:23, MOVE, v:1, k:es@detonate, mode:PICK
2026-04-20 12:08:24, EXEC, v:1, k:es@detonate, mode:FULL, rate:0, size:33
2026-04-20 12:11:18, EXEC, v:1, k:es@detonate, mode:FULL, rate:0, size:33
2026-04-20 12:18:43, EXEC, v:1, k:es@detonate, mode:FULL, rate:0, size:31
2026-04-20 12:41:39, EXEC, v:1, k:es@detonate, mode:FULL, rate:0, size:47
2026-04-20 12:43:58, EXEC, v:1, k:es@detonate, mode:FULL, rate:0, size:49
2026-04-20 12:45:22, EXEC, v:1, k:es@detonate, mode:FULL, rate:0, size:48
2026-04-20 12:45:36, EXEC, v:1, k:es@detonate, mode:FULL, rate:0, size:41
2026-04-20 12:49:10, EXEC, v:1, k:es@detonate, mode:FULL, rate:0, size:43
2026-04-20 12:49:34, EXEC, v:1, k:es@detonate, mode:FULL, rate:0, size:44
