2026-03-09 19:50:11, MOVE, v:1, k:es@princesa, mode:DOWN
2026-03-09 19:52:07, MOVE, v:1, k:es@princesa, mode:PICK
2026-03-09 19:52:21, MOVE, v:1, k:es@princesa, mode:BACK
2026-03-09 19:52:23, MOVE, v:1, k:es@princesa, mode:PICK
2026-03-09 19:52:42, MOVE, v:1, k:es@princesa, mode:BACK
2026-03-09 19:52:43, MOVE, v:1, k:es@princesa, mode:PICK
2026-03-09 19:53:47, MOVE, v:1, k:es@princesa, mode:BACK
2026-03-09 19:54:02, MOVE, v:1, k:es@princesa, mode:PICK
2026-03-09 21:47:26, MOVE, v:1, k:es@princesa, mode:DOWN
