2026-03-25 09:32:43, MOVE, v:1, k:es@especiais, mode:PICK
2026-03-25 09:32:45, EXEC, v:1, k:es@especiais, mode:FULL, rate:25, size:176
2026-03-25 09:35:51, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:176
2026-03-25 09:44:15, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:190
2026-03-25 09:45:01, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:193
2026-03-25 09:47:25, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:193
2026-03-25 09:49:02, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:195
2026-03-25 09:50:27, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:193
2026-03-25 09:52:06, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:195
2026-03-25 10:01:02, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:195
2026-03-25 10:02:03, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:197
2026-03-25 10:08:55, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:197
2026-03-25 10:09:24, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:197
2026-03-25 10:10:10, EXEC, v:1, k:es@especiais, mode:FULL, rate:37, size:197
2026-03-25 10:11:18, EXEC, v:1, k:es@especiais, mode:FULL, rate:50, size:197
2026-03-25 10:35:40, EXEC, v:1, k:es@especiais, mode:FULL, rate:50, size:226
